Program Title,Award Level,Code,Faculty,url
Sustainment Management,Masters Degree (Coursework),8566,UNSW Canberra at ADFA,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8566.html
Systems Engineering,Masters Degree (Coursework),8567,UNSW Canberra at ADFA,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8567.html
Taxation,Graduate Certificate,7321,UNSW Business School,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7321.html
Taxation,Masters Degree (Coursework),9250,UNSW Business School,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9250.html
Teaching,Graduate Certificate,7327,Faculty of Arts&Social Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7327.html
Teaching (Secondary),Masters Degree (Coursework),8926,Faculty of Arts&Social Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8926.html
Technology and Innovation Mgmt,Masters Degree (Coursework),8009,UNSW Business School,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8009.html
Translation,Masters Degree (Coursework),8203,Faculty of Arts&Social Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8203.html
Translation & Interpreting,Masters Degree (Coursework),8204,Faculty of Arts&Social Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8204.html
University Learning & Teaching,Graduate Certificate,7375,Faculty of Arts&Social Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7375.html
Urban Develop & Design (Extension),Masters Degree (Coursework),8141,Faculty of Built Environment,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8141.html
Urban Development and Design,Masters Degree (Coursework),8131,Faculty of Built Environment,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8131.html
